username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Ambiq,2518081057,"Austin, Texas",2023-01-18 16:15:00,Startups and big tech are actively revolutionizing every aspect of the clinical trial process.  Read how Ambiq is c… https://t.co/zTO4tuHDBT,0,HubSpot,
Cart.com 🛒,1320539068640407559,"Austin, TX",2023-01-18 16:12:09,We're honored to be recognized by @BuiltIn as one of this year's Best Places to Work in Austin. A big thank you to… https://t.co/0pbyKO6CZ5,1,Sprout Social,
Ethan,1310893824,"Austin, TX",2023-01-18 16:03:12,"@klobrille Sucks but it’s happening at all big tech companies, hope the employees who lose their jobs are good.",1,Twitter for iPhone,
PeebsATX,2299004214,"Austin,TX",2023-01-18 15:54:25,@GOP Ah yes thanks god the boomers are here to protect us from Big Tech. The experts they are,0,Twitter for iPhone,
Oracle News,15102553,"Austin, TX",2023-01-18 15:09:02,Iconic restaurant chain @ItsYourBigBoy orders up Oracle MICROS Simphony Cloud and Oracle Payments Cloud service to… https://t.co/CbHed8PlT1,2,Sprinklr,
Austin Inno,2840008336,"Austin, TX ",2023-01-18 14:00:27,Money raised by Austin companies last week will help tech companies find remote employees in Latin America; underwr… https://t.co/XHaT4Fz6lI,0,True Anthem,
AustinBizJournal,24037404,"Austin, Texas ",2023-01-18 04:00:15,Money raised by Austin companies last week will help tech companies find remote employees in Latin America; underwr… https://t.co/uBfjSuj8hF,0,True Anthem,
Tyler W🌵,34124342,"Austin, TX",2023-01-18 03:47:45,Murphy’s law.  If big 12 refs can screw Texas Tech they will!,0,Twitter for iPhone,
Dan Isett 🌵 🏴‍☠️,20247181,"Austin, TX / Washington, DC",2023-01-18 03:29:28,"It's shocking, but Tech could very well go near-winless in the Big 12. I don't see *any* sure wins on the schedule… https://t.co/Wg2QMHZI2g",1,Twitter for Android,
threat to Democracy,1583395916,"Georgetown, TX",2023-01-18 03:20:51,"What he calls a problem, is really an opportunity. An opportunity to hear opposing views, to ensure that diverse op… https://t.co/QsruSumtd7",0,Twitter for iPad,
Edward,2551330513,"Austin, TX",2023-01-18 03:13:16,"Big Tech’s Layoffs Highlight How the US Fails Immigrant Workers
https://t.co/4KzXmuBWpx",0,Twitter for Android,
Just Zabros,135773449,"Austin, TX",2023-01-18 00:42:52,@strandjs How about a campaign about what WOULD protect you from big tech,0,Twitter for Android,
Hookem.com,15165715,"Austin, Tx",2023-01-17 21:59:02,"Ranked again, No. 25 Texas resumes its on-court rivalry with Texas Tech in Big 12 matchup https://t.co/L58wBXved8",2,SocialNewsDesk,
Clinton Rarey,1522329382001463296,Austin,2023-01-17 21:52:13,@LegendaryEnergy Don't give anyone the benefit of the doubt. You're either trustworthy or not. If they are shills f… https://t.co/wLhIdTExeg,0,Twitter for Android,
